annual_sales_quant,avg_sales_price,category,color,condition,description,highest_bid,lowest_ask,product_title,release_date,retail_price,style,ticker,year_high,year_low,,
,,streetwear,,New,,,345,Polo Ralph Lauren Indigo Stadium Tear Away Pant Ridge Wash,9/26/19 0:00,198,, P-INSTAPRW,,,,
,,streetwear,,New,,149,165,Palace Palace Washbag Cream,10/4/19 0:00,,, PAL-PAWCRM,,,,
,,streetwear,,New,,25,250,BAPE ABC Camo Assortment Case (M) Green,9/30/19 0:00,,, BA-ABCCMASCMGN,,,,
,,streetwear,,New,,80,150,Palace Flaming P American Football Jersey Black,10/4/19 0:00,158,, PAL-FLPAFJBK,,,,
,,streetwear,,New,,,159,BAPE Bicolor Katakana College Tee Yellow,9/30/19 0:00,99,, B-BIKCTYW,,,,
,,streetwear,,New,,200,619,BAPE Velour Souvenir Jacket Burgundy,9/30/19 0:00,619,, B-VESJBGND,,,,
,,streetwear,,New,,90,87,FEAR OF GOD ESSENTIALS Sweatpants Dark Heather Gray,9/6/19 0:00,100,, FOG-ESSDHG,,,,
,,streetwear,,New,,75,168,Supreme Script Canvas Snap Shirt Black,10/3/19 0:00,138,, SUP-SCCSSBK,,,,
,,streetwear,,New,,39,250,Palace Laser Lines Hood Dark Green,10/4/19 0:00,148,, PAL-LALHDGN,,,,
,,streetwear,,New,,105,106,Supreme Metallic L/S Top Heather Grey,10/12/17 0:00,88,, SP-MLTHGY,,,,
,,streetwear,,New,,55,60,Palace Love Triangle T-Shirt Yellow,10/4/19 0:00,48,, PAL-LOTTYW,,,,
57,227,streetwear,,New,,209,200,Supreme LACOSTE Puffy Half Zip Pullover Black,9/26/19 0:00,218,, SUP-LAPHZPBK,261,180,,
,,streetwear,,New,,15,250,BAPE ABC Camo Assortment Case (M) Blue,9/30/19 0:00,,, BA-ABCCACSMBL,,,,
,,streetwear,,New,,220,300,Kanye West Jesus Is King Chicago Seal (Yeezy Promo) T Shirt White,9/28/19 0:00,50,, KY-JIKCSYPTSWH,,,,
1,100,streetwear,,New,,50,56,Supreme Racing New Era Gold,5/23/19 0:00,68,, SUP-RANEGLD,100,100,,
1,270,streetwear,,New,,100,198,Supreme 1-800 Coaches Jacket Red,10/3/19 0:00,148,, SUP-1-CJRD,270,270,,
1,50,streetwear,,New,,50,60,Palace Pocket Beanie Yellow,10/4/19 0:00,38,, PAL-POBYW,50,50,,
1,598,streetwear,,New,,270,575,BAPE Denim China Jacket Indigo,9/30/19 0:00,419,, B-DECJIND,598,598,,
1,60,streetwear,,New,,15,80,Supreme Waffle Cord Classic Logo 6-Panel Red,10/12/17 0:00,48,, SP-WCCL6PRD,60,60,,
1,75,streetwear,,New,,,50,Supreme Waffle Cord Classic Logo 6-Panel Teal,10/12/17 0:00,48,, SP-WCCL6PTL,75,75,,
1,125,streetwear,,New,,60,203,Supreme Metallic L/S Top Heather Magenta,10/12/17 0:00,88,, SP-MLTHM,125,125,,
1088,118,streetwear,,New,"Like the sun comes up every morning, Supreme drops bags on Week One of each season and FW19 was no exception. FW19's waistbags released in four different colorways and feature Supreme branding on a water resistant 6L 630D HT Cordura Nylon bag. The Supreme Waist Bag (FW19) released on August 22nd, 2019 and retailed for $88 USD.",100,103,Supreme Waist Bag (FW19) Real Tree Camo,8/22/19 0:00,88,, SUP-WABTCMO,150,100,,
430,65,streetwear,,New,,55,51,Nike Kyrie x Spongebob Dri-Fit Patrick Star Hoodie (Kids Sizing) Black,8/8/19 0:00,50,, NK-KSDFPSHKSBK,140,41,,
2306,14,streetwear,,New,,8,13,Supreme x Band Aid Adhesive Bandages (Box of 20) Red,3/7/19 0:00,6,, SUP-XBAABRD,23,6,,
,,streetwear,,New,,,271,BAPE ABC Camo Assortment Case (L) Blue,9/30/19 0:00,,, BA-ABCCASCSLBL,,,,
1,201,streetwear,,New,,170,250,BAPE Katakana L/S Tee White,9/30/19 0:00,119,, B-KALTWH,201,201,,
22,57,streetwear,,New,,48,53,Supreme Big Logo Beanie (FW19) Heather Grey,10/10/19 0:00,40,, SUP-BILBHGY,70,48,,
